斗争 fight
干燥的 dry
根据 according
土 soil
沙 sand
土地 land
沙尘暴 sandstorm
变得 become
想象 imagine
沙漠 desert
所有者 owner
决定 decide
休息 rest
自从 since
之后 later
机能 skill
最近 recent
日记 diary
自己的 own
以下 below
提升 improve
比赛 match
深受喜爱的 beloved
慈善机构 charity
相信 believe
问候 greeting
奇怪 strange
寂寞 lonely
计划 plan
邀请 invites
大声 aloud
合身 fit
主持人 host
表达 express
情怀 feeling
身体的 physical
数千 thousands
背诵 recite
听写 dictation
谢天谢地 thankfully
所有 whole
任何 whatever
服务员 waiter
拉伸 stretch
折纸 origami
短语 phrase
教练 coach
外表 appearance
欧洲 Europe
外星人 aliens
埋葬 bury
过去的 past
商品 goods
瓶子 bottle
队长 captain
宗教 religion
家乡 hometown
握住 hold
休息 break
气氛 atmosphere
鼓励 encouraged
建筑师 architect
影像 affect
新鲜的 fresh
话题 topic
野生 wild
报酬 reward
牧羊人 shepherd
皮革 leather
到期的 due
